"Datum","CH-Firma","CH-CIK","Atombombenhersteller","Wert in USD"
20140331,"GAM Holding AG",1438848,"GENERAL DYNAMICS CORP",501000
20140331,"GAM Holding AG",1438848,"HONEYWELL INTL INC",928000
20140331,"GAM Holding AG",1438848,"HONEYWELL INTL INC",9006000
20140331,"GAM Holding AG",1438848,"LOCKHEED MARTIN CORP",24485000
20140331,"GAM Holding AG",1438848,"LOCKHEED MARTIN CORP",711000
20140331,"GAM Holding AG",1438848,"NORTHROP GRUMMAN CORP",24676000
20140331,"GAM Holding AG",1438848,"NORTHROP GRUMMAN CORP",422000
20140331,"GAM Holding AG",1438848,"TEXTRON INC",2393000
20140331,"GAM Holding AG",1438848,"TEXTRON INC",181000
20140331,"UBS AG",1114446,"BOEING CO",370421000
20140331,"UBS AG",1114446,"BOEING CO",60216000
20140331,"UBS AG",1114446,"BOEING CO",15222000
20140331,"UBS AG",1114446,"BOEING CO",13552000
20140331,"UBS AG",1114446,"BOEING CO",6654000
20140331,"UBS AG",1114446,"BOEING CO",6551000
20140331,"UBS AG",1114446,"BOEING CO",166000
20140331,"UBS AG",1114446,"BOEING CO",75000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",19599000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",15904000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",7602000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",1158000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",614000
20140331,"UBS AG",1114446,"FLUOR CORP NEW",8000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",24036000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",2309000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",1828000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",1786000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",1039000
20140331,"UBS AG",1114446,"GENERAL DYNAMICS CORP",893000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",78400000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",10628000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",5197000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",3349000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",2402000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",201000
20140331,"UBS AG",1114446,"HONEYWELL INTL INC",60000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",2076000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",213000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",51000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",37000
20140331,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",31000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",32555000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2906000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2874000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2253000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2001000
20140331,"UBS AG",1114446,"LOCKHEED MARTIN CORP",216000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",13963000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",8578000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",1774000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",308000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",70000
20140331,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",25000
20140331,"UBS AG",1114446,"TEXTRON INC",4320000
20140331,"UBS AG",1114446,"TEXTRON INC",640000
20140331,"UBS AG",1114446,"TEXTRON INC",67000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",14970000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",119000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",5966000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",18999000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",3798000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",5412000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",51349000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",364000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",4203000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",54209000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",108976000
20140331,"CREDIT SUISSE AG/",824468,"BOEING CO",188000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",17024000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",47000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",1817000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",3351000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",1237000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",148000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",7786000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",17000
20140331,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",6904000
20140331,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",65000
20140331,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",21394000
20140331,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",20905000
20140331,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",49000
20140331,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",19212000
20140331,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",7061000
20140331,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",67000
20140331,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",1229000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",644000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",2130000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",41200000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",2376000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",1345000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",31382000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",15598000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",102000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",14043000
20140331,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",41000
20140331,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",2317000
20140331,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",2000
20140331,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",1432000
20140331,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",13000
20140331,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",5980000
20140331,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",260000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",11284000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",65000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",20761000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",14856000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",10496000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",62000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",30300000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",130000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",2449000
20140331,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",13098000
20140331,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",1014000
20140331,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",19000
20140331,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",6035000
20140331,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",5158000
20140331,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",17016000
20140331,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",10226000
20140331,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",38000
20140331,"CREDIT SUISSE AG/",824468,"TEXTRON INC",401000
20140331,"CREDIT SUISSE AG/",824468,"TEXTRON INC",15000
20140331,"CREDIT SUISSE AG/",824468,"TEXTRON INC",2488000
20140331,"CREDIT SUISSE AG/",824468,"TEXTRON INC",1000
20140331,"CREDIT SUISSE AG/",824468,"TEXTRON INC",6779000
20140331,"CREDIT SUISSE AG/",824468,"TEXTRON INC",864000
20140331,"CREDIT SUISSE AG/",824468,"TEXTRON INC",3395000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"BOEING CO",6735000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"FLUOR CORP NEW",2427000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"GENERAL DYNAMICS CORP",2461000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"HONEYWELL INTL INC",4320000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"LOCKHEED MARTIN CORP",3174000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"NORTHROP GRUMMAN CORP",5611000
20140331,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"TEXTRON INC",694000
20140331,"Compagnie Lombard, Odier SCA",1615423,"LOCKHEED MARTIN CORP",98000
20140331,"Compagnie Lombard, Odier SCA",1615423,"BOEING CO",703000
20140331,"Compagnie Lombard, Odier SCA",1615423,"FLUOR CORP NEW",4922000
20140331,"Compagnie Lombard, Odier SCA",1615423,"HONEYWELL INTL INC",206000
20140331,"Compagnie Lombard, Odier SCA",1615423,"LOCKHEED MARTIN CORP",175000
20140331,"Compagnie Lombard, Odier SCA",1615423,"NORTHROP GRUMMAN CORP",465000
20140331,"Compagnie Lombard, Odier SCA",1615423,"FLUOR CORP NEW",134000
20140331,"Compagnie Lombard, Odier SCA",1615423,"HONEYWELL INTL INC",26000
20140331,"Swiss National Bank",1582202,"BOEING CO",86838000
20140331,"Swiss National Bank",1582202,"FLUOR CORP NEW",12306000
20140331,"Swiss National Bank",1582202,"GENERAL DYNAMICS CORP",31605000
20140331,"Swiss National Bank",1582202,"HONEYWELL INTL INC",67026000
20140331,"Swiss National Bank",1582202,"HUNTINGTON INGALLS INDS INC",5645000
20140331,"Swiss National Bank",1582202,"LOCKHEED MARTIN CORP",43075000
20140331,"Swiss National Bank",1582202,"NORTHROP GRUMMAN CORP",25217000
20140331,"BANQUE PICTET & CIE SA",1535602,"BOEING CO",10992000
20140331,"BANQUE PICTET & CIE SA",1535602,"HONEYWELL INTL INC",339000
20140630,"BANQUE PICTET & CIE SA",1535602,"BOEING CO",13663000
20140630,"BANQUE PICTET & CIE SA",1535602,"HONEYWELL INTL INC",339000
20140630,"Lombard Odier Asset Management (Switzerland) SA",1535660,"BOEING CO",35000
20140630,"Lombard Odier Asset Management (Switzerland) SA",1535660,"BOEING CO",137000
20140630,"Lombard Odier Asset Management (Switzerland) SA",1535660,"FLUOR CORP NEW",17000
20140630,"Lombard Odier Asset Management (Switzerland) SA",1535660,"FLUOR CORP NEW",251000
20140630,"Lombard Odier Asset Management (Switzerland) SA",1535660,"HONEYWELL INTL INC",27000
20140630,"Lombard Odier Asset Management (Switzerland) SA",1535660,"NORTHROP GRUMMAN CORP",58000
20140630,"Lombard Odier Asset Management (Switzerland) SA",1535660,"NORTHROP GRUMMAN CORP",151000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",13826000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",1104000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",3749000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",5487000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",5998000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",9686000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",64372000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",59328000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",77528000
20140630,"CREDIT SUISSE AG/",824468,"BOEING CO",34000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",822000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",788000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",4469000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",21442000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",169000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",1706000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",46000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",2468000
20140630,"CREDIT SUISSE AG/",824468,"FLUOR CORP NEW",7886000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",70000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",13000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",3497000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",12878000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",1136000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",16850000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",10463000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",9459000
20140630,"CREDIT SUISSE AG/",824468,"GENERAL DYNAMICS CORP",22277000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",11795000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",16747000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",73000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",2128000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",34371000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",1348000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",20000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",726000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",41000
20140630,"CREDIT SUISSE AG/",824468,"HONEYWELL INTL INC",42818000
20140630,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",10000
20140630,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",6605000
20140630,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",604000
20140630,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",2000
20140630,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",2176000
20140630,"CREDIT SUISSE AG/",824468,"HUNTINGTON INGALLS INDS INC",3952000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",448000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",1964000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",35488000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",27735000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",9777000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",10628000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",3519000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",2411000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",8027000
20140630,"CREDIT SUISSE AG/",824468,"LOCKHEED MARTIN CORP",64000
20140630,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",6346000
20140630,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",3865000
20140630,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",848000
20140630,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",13494000
20140630,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",10000
20140630,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",18000
20140630,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",16360000
20140630,"CREDIT SUISSE AG/",824468,"NORTHROP GRUMMAN CORP",53000
20140630,"CREDIT SUISSE AG/",824468,"TEXTRON INC",6593000
20140630,"CREDIT SUISSE AG/",824468,"TEXTRON INC",2031000
20140630,"CREDIT SUISSE AG/",824468,"TEXTRON INC",2274000
20140630,"CREDIT SUISSE AG/",824468,"TEXTRON INC",1000
20140630,"CREDIT SUISSE AG/",824468,"TEXTRON INC",3972000
20140630,"CREDIT SUISSE AG/",824468,"TEXTRON INC",358000
20140630,"CREDIT SUISSE AG/",824468,"TEXTRON INC",4000
20140630,"Compagnie Lombard, Odier SCA",1615423,"LOCKHEED MARTIN CORP",96000
20140630,"Compagnie Lombard, Odier SCA",1615423,"BOEING CO",856000
20140630,"Compagnie Lombard, Odier SCA",1615423,"FLUOR CORP NEW",4747000
20140630,"Compagnie Lombard, Odier SCA",1615423,"HONEYWELL INTL INC",207000
20140630,"Compagnie Lombard, Odier SCA",1615423,"LOCKHEED MARTIN CORP",112000
20140630,"Compagnie Lombard, Odier SCA",1615423,"NORTHROP GRUMMAN CORP",210000
20140630,"Compagnie Lombard, Odier SCA",1615423,"FLUOR CORP NEW",133000
20140630,"Compagnie Lombard, Odier SCA",1615423,"HONEYWELL INTL INC",26000
20140630,"Swiss National Bank",1582202,"BOEING CO",87584000
20140630,"Swiss National Bank",1582202,"FLUOR CORP NEW",12021000
20140630,"Swiss National Bank",1582202,"GENERAL DYNAMICS CORP",33049000
20140630,"Swiss National Bank",1582202,"HONEYWELL INTL INC",67488000
20140630,"Swiss National Bank",1582202,"HUNTINGTON INGALLS INDS INC",5146000
20140630,"Swiss National Bank",1582202,"LOCKHEED MARTIN CORP",42798000
20140630,"Swiss National Bank",1582202,"NORTHROP GRUMMAN CORP",24008000
20140630,"ROBECOSAM AG",1418427,"FLUOR CORP NEW",1265000
20140630,"ROBECOSAM AG",1418427,"HONEYWELL INTL INC",4383000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"BOEING CO",7440000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"FLUOR CORP NEW",2352000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"GENERAL DYNAMICS CORP",2819000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"HONEYWELL INTL INC",4744000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"LOCKHEED MARTIN CORP",3439000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"NORTHROP GRUMMAN CORP",5515000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"TEXTRON INC",764000
20140630,"UBS AG",1114446,"BOEING CO",406074000
20140630,"UBS AG",1114446,"BOEING CO",39621000
20140630,"UBS AG",1114446,"BOEING CO",32762000
20140630,"UBS AG",1114446,"BOEING CO",15967000
20140630,"UBS AG",1114446,"BOEING CO",6463000
20140630,"UBS AG",1114446,"BOEING CO",5814000
20140630,"UBS AG",1114446,"BOEING CO",168000
20140630,"UBS AG",1114446,"FLUOR CORP NEW",20119000
20140630,"UBS AG",1114446,"FLUOR CORP NEW",6270000
20140630,"UBS AG",1114446,"FLUOR CORP NEW",869000
20140630,"UBS AG",1114446,"FLUOR CORP NEW",784000
20140630,"UBS AG",1114446,"FLUOR CORP NEW",285000
20140630,"UBS AG",1114446,"FLUOR CORP NEW",8000
20140630,"UBS AG",1114446,"GENERAL DYNAMICS CORP",22026000
20140630,"UBS AG",1114446,"GENERAL DYNAMICS CORP",3389000
20140630,"UBS AG",1114446,"GENERAL DYNAMICS CORP",2273000
20140630,"UBS AG",1114446,"GENERAL DYNAMICS CORP",629000
20140630,"UBS AG",1114446,"GENERAL DYNAMICS CORP",350000
20140630,"UBS AG",1114446,"GENERAL DYNAMICS CORP",174000
20140630,"UBS AG",1114446,"HONEYWELL INTL INC",80463000
20140630,"UBS AG",1114446,"HONEYWELL INTL INC",15656000
20140630,"UBS AG",1114446,"HONEYWELL INTL INC",5337000
20140630,"UBS AG",1114446,"HONEYWELL INTL INC",1469000
20140630,"UBS AG",1114446,"HONEYWELL INTL INC",1273000
20140630,"UBS AG",1114446,"HONEYWELL INTL INC",60000
20140630,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",1931000
20140630,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",599000
20140630,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",38000
20140630,"UBS AG",1114446,"HUNTINGTON INGALLS INDS INC",35000
20140630,"UBS AG",1114446,"LOCKHEED MARTIN CORP",30783000
20140630,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2829000
20140630,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2507000
20140630,"UBS AG",1114446,"LOCKHEED MARTIN CORP",2079000
20140630,"UBS AG",1114446,"LOCKHEED MARTIN CORP",1414000
20140630,"UBS AG",1114446,"LOCKHEED MARTIN CORP",393000
20140630,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",15976000
20140630,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",7319000
20140630,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",1720000
20140630,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",68000
20140630,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",24000
20140630,"UBS AG",1114446,"NORTHROP GRUMMAN CORP",24000
20140630,"UBS AG",1114446,"TEXTRON INC",3763000
20140630,"UBS AG",1114446,"TEXTRON INC",1367000
20140630,"UBS AG",1114446,"TEXTRON INC",624000
20140630,"UBS AG",1114446,"TEXTRON INC",153000
20140630,"UBS AG",1114446,"TEXTRON INC",2000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"BOEING CO",7440000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"FLUOR CORP NEW",2352000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"GENERAL DYNAMICS CORP",2819000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"HONEYWELL INTL INC",4744000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"LOCKHEED MARTIN CORP",3439000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"NORTHROP GRUMMAN CORP",5515000
20140630,"Zurcher Kantonalbank (Zurich Cantonalbank)",1368163,"TEXTRON INC",764000
20140630,"GAM Holding AG",1438848,"BOEING CO",12258000
